Aldora 77.237.238.136
Amera 74.54.220.156
Antica 77.237.239.51
Arcania 77.237.238.131
Askara 77.237.239.66
Astera 74.54.220.61
Aurea 77.237.238.181
Azura 77.237.238.81
Balera 74.54.220.26
Berylia 77.237.238.106
Calmera 74.54.220.41
Candia 77.237.239.26
Celesta 77.237.239.56
Chimera 74.54.220.161
Danera 74.54.220.31
Danubia 77.237.238.216
Dolera 74.54.220.166
Elera 74.54.220.111
Elysia 77.237.238.206
Empera 74.54.220.21
Eternia 77.237.239.36
Fortera 74.54.220.202
Furora 77.237.238.191
Galana 77.237.238.166
Grimera 74.54.220.36
Guardia 77.237.239.61
Harmonia 77.237.239.76
Hiberna 77.237.238.211
Honera 74.54.220.116
Inferna 77.237.238.126
Iridia 77.237.238.156
Isara 77.237.238.116
Jamera 74.54.220.66
Julera 74.54.220.171
Keltera 74.54.220.121
Kyra 77.237.238.201
Libera 74.54.220.176
Lucera 74.54.220.71
Luminera 74.54.220.76
Lunara 77.237.238.161
Malvera 74.54.220.82
Menera 74.54.220.181
Morgana 77.237.238.186
Mythera 74.54.220.106
Nebula 77.237.238.91
Neptera 74.54.220.126
Nerana 77.237.239.31
Nova 77.237.238.171
Obsidia 77.237.238.86
Ocera 74.54.220.132
Pacera 74.54.220.206
Pandoria 77.237.239.21
Premia 77.237.238.121
Pythera 74.54.220.196
Refugia 77.237.239.16
Rubera 74.54.220.90
Samera 74.54.220.11
Saphira 77.237.238.101
Secura 77.237.239.11
Selena 77.237.239.46
Shanera 74.54.220.136
Shivera 74.54.220.141
Silvera 74.54.220.101
Solera 74.54.220.46
Tenebra 74.54.220.146
Thoria 77.237.238.196
Titania 77.237.239.71
Trimera 74.54.220.51
Unitera 74.54.220.16
Valoria 77.237.238.176
Vinera 74.54.220.151
Xantera 74.54.220.56
Xerena 77.237.238.96
Zanera 74.54.220.96
